class,precision,recall,f1_score,support
20,0.0,0.0,0.0,123
21,0.0,0.0,0.0,76
22,0.0,0.0,0.0,8
23,0.0,0.0,0.0,8
24,0.0,0.0,0.0,6
25,0.0,0.0,0.0,265
26,0.0,0.0,0.0,425
27,0.0,0.0,0.0,2
28,0.0,0.0,0.0,6
29,0.0,0.0,0.0,23
30,0.0,0.0,0.0,51
31,0.0,0.0,0.0,5
32,0.0,0.0,0.0,5
33,0.0,0.0,0.0,17
34,0.0,0.0,0.0,13
36,0.0,0.0,0.0,18
37,0.0,0.0,0.0,2
macro,0.16461224354695833,0.19760272646699512,0.17213381130653693,0
fold 8,,,,
0,0.9294,0.976,0.9521,8834
1,0.0,0.0,0.0,47
2,0.9622,1.0,0.9807,661
3,0.0,0.0,0.0,9
4,0.8974,0.9722,0.9333,72
5,0.0,0.0,0.0,2
6,0.0,0.0,0.0,56
7,0.0,0.0,0.0,9
8,0.0,0.0,0.0,10
9,0.0,0.0,0.0,17
10,0.7212,0.8586,0.784,672
11,0.0,0.0,0.0,15
12,0.1136,0.5556,0.1887,18
13,0.0,0.0,0.0,28
14,0.723,0.8295,0.7726,129
15,0.9635,0.992,0.9776,4236
16,0.4353,0.6898,0.5338,893
17,0.0,0.0,0.0,3
18,0.0,0.0,0.0,134
19,0.1789,0.1318,0.1518,129
20,0.5,0.0068,0.0135,146
21,0.7419,0.2584,0.3833,89
22,0.0,0.0,0.0,4
23,0.0,0.0,0.0,9
24,0.0,0.0,0.0,10
25,0.0,0.0,0.0,214
26,0.0,0.0,0.0,407
27,0.0,0.0,0.0,4
28,0.0,0.0,0.0,3
29,0.0,0.0,0.0,18
30,0.0,0.0,0.0,44
31,0.0,0.0,0.0,4
32,0.0,0.0,0.0,3
33,0.0,0.0,0.0,20
34,0.0,0.0,0.0,7
35,0.0,0.0,0.0,5
36,0.0,0.0,0.0,16
37,0.0,0.0,0.0,7
macro,0.1885948373797382,0.19133448218953406,0.17556216360441507,0
fold 9,,,,
0,0.9553,0.9897,0.9722,8834
1,0.0,0.0,0.0,71
2,0.9871,0.9986,0.9928,691
3,0.0,0.0,0.0,3
4,0.8495,0.9875,0.9133,80
5,0.0,0.0,0.0,4
6,0.0,0.0,0.0,62
7,0.0,0.0,0.0,2
8,0.0,0.0,0.0,4
9,0.0,0.0,0.0,15
10,0.5662,0.9595,0.7121,642
11,0.0,0.0,0.0,18
12,0.2308,0.6522,0.3409,23
13,0.0,0.0,0.0,19
14,0.9434,0.8475,0.8929,118
15,0.9886,0.9867,0.9877,4148
16,0.4266,0.6405,0.5121,957
17,0.0,0.0,0.0,3
18,0.3652,0.2917,0.3243,144
